         term        gene
1020    11103 PV2T_008947
1021    11103 PV2T_008948
1022    11103 PV2T_008949
1023    11103 PV2T_008950
1024    11103 PV2T_008951
1025    11103 PV2T_008952
1026    11103 PV2T_008953
1027    11103 PV2T_008954
1028    11103 PV2T_008955
1029    11103 PV2T_008956
1030    11103 PV2T_008957
1031    11103 PV2T_008958
1032    11103 PV2T_008959
1033    11103 PV2T_008960
1034    11103 PV2T_008961
1035    11103 PV2T_008962
1036    11103 PV2T_008963
1037    11103 PV2T_008964
1038    11103 PV2T_008965
1039    11103 PV2T_008966
1040    11103 PV2T_008967
1041    11103 PV2T_008968
1042    11103 PV2T_008969
1043    11103 PV2T_008970
1044    11103 PV2T_008971
1045    11103 PV2T_008972
1046    11103 PV2T_008973
1047    11103 PV2T_008974
1048    11103 PV2T_008975
1049    11103 PV2T_008976
1050    11103 PV2T_008977
1051    11103 PV2T_008978
1052    11103 PV2T_008979
1053    11103 PV2T_008980
1054    11103 PV2T_008981
1055    11103 PV2T_008982
1056    11103 PV2T_008983
1057    11103 PV2T_008984
1058    11103 PV2T_008985
1059    11103 PV2T_008986
1060    11103 PV2T_008987
1061    11103 PV2T_008988
1062    11103 PV2T_008989
1063    11103 PV2T_008990
1064    11103 PV2T_008991
1065    11103 PV2T_008992
1066    11103 PV2T_008993
1067    11103 PV2T_008994
